PLANO,competencia,rent_perc,taxa_juros,VALVALOR,BD,meta_atuarial
BD-01,2021-04-01,1.0094407442913251,4.7,0.31,0.93,0.694663259089956
BD-01,2021-06-01,0.952903887110242,4.7,0.53,0.83,0.9155069029639362
BD-01,2021-07-01,0.7223819781732518,4.7,0.96,0.53,1.3471558432631037
BD-01,2021-08-01,0.6327429254688679,4.7,0.87,0.96,1.2568107162237219
BD-01,2021-09-01,0.9332240321161303,4.7,1.16,0.87,1.5479227922394534
BD-01,2021-10-01,0.3862226671101323,4.7,1.25,1.16,1.6382679192787908
BD-01,2021-11-01,1.6497884139388148,4.7,0.95,1.25,1.3371174958142884
BD-01,2021-12-01,0.4086482187297558,4.7,0.73,0.95,1.116273851940286
BD-01,2022-01-01,1.0211879207770835,4.7,0.54,0.73,0.9255452504127515
BD-01,2022-02-01,0.9481750253929846,4.7,1.01,0.54,1.39734758050718
BD-01,2022-03-01,2.1175073089469323,4.7,1.62,1.01,2.0096867748850444
BD-01,2022-04-01,1.096936684361367,4.7,1.06,1.62,1.4475393177512563
BD-01,2022-05-01,1.3333056673828299,4.7,0.47,1.06,0.8552768182710224
BD-01,2022-06-01,0.2511633473458562,4.7,0.67,0.47,1.0560437672473721
BD-01,2022-07-01,0.30006399085806296,4.7,-0.68,0.67,-0.2991331383430107
BD-01,2022-08-01,0.5921522941537872,4.7,-0.36,-0.68,0.022093980019155524
BD-01,2022-09-01,0.5218656012228239,4.7,-0.29,-0.36,0.09236241216088459
BD-01,2022-10-01,0.7812746779997555,4.7,0.59,-0.29,0.9757369876568278
BD-01,2022-11-01,0.5952731885501508,4.7,0.41,0.59,0.7950467335781086
BD-01,2022-12-01,1.327605283239578,4.7,0.62,0.41,1.0058520300032958
BD-01,2023-01-01,0.815926490054837,4.65,0.53,0.62,0.9114899656046616
BD-01,2023-02-01,0.8976930570269847,4.65,0.84,0.53,1.2226663496625267
BD-01,2023-03-01,1.7364675905336333,4.65,0.71,0.84,1.0921730273156793
BD-01,2023-04-01,1.4002022894451007,4.65,0.61,0.71,0.9917935485873386
BD-01,2023-05-01,1.496453543483493,4.65,0.23,0.61,0.6103515294196171
BD-01,2023-06-01,1.0866722978775911,4.65,-0.08,0.23,0.29917514536175194
BD-01,2023-07-01,0.5914600054328853,4.65,0.12,-0.08,0.49993410281845563
BD-01,2023-08-01,0.7983011082861245,4.65,0.23,0.12,0.6103515294196171
BD-01,2023-09-01,0.25850477316905524,4.65,0.26,0.23,0.6404653730381238
BD-01,2023-10-01,0.41298683377810236,4.65,0.24,0.26,0.6203894772924601
BD-01,2023-11-01,1.2830265924401405,4.65,0.28,0.24,0.6605412687837875
CD-02,2021-04-01,0.930856683713472,4.0,0.31,0.93,1.2604185562173464
CD-02,2021-06-01,0.3211599945702065,4.0,0.53,0.83,1.1600911822391202
CD-02,2021-07-01,0.14964530071730117,4.0,0.96,0.53,0.8591090603044638
CD-02,2021-08-01,0.13798057100329947,4.0,0.87,0.96,1.2905167684108099
CD-02,2021-09-01,0.7905040580395546,4.0,1.16,0.87,1.2002221318303974
CD-02,2021-10-01,-0.6891649632725025,4.0,1.25,1.16,1.49117151636724
CD-02,2021-11-01,2.3256804465455416,4.0,0.95,1.25,1.5814661529476304
CD-02,2021-12-01,0.8999625161753507,4.0,0.73,0.95,1.2804840310129961
CD-02,2022-01-01,0.36497011064398033,4.0,0.54,0.73,1.059763808260894
CD-02,2022-02-01,0.8777581159638601,4.0,1.01,0.54,0.8691417977022775
CD-02,2022-03-01,2.3677747432581673,4.0,1.62,1.01,1.340680455399923
CD-02,2022-04-01,1.245988977763726,4.0,1.06,1.62,1.9526774366670496
CD-02,2022-05-01,1.1053629909736522,4.0,0.47,1.06,1.3908441423890139
CD-02,2022-06-01,0.5086126387631009,4.0,0.67,0.47,0.7989126359175147
CD-02,2022-07-01,0.02505228177879918,4.0,-0.68,0.67,0.9995673838739672
CD-02,2022-08-01,0.45216702171448,4.0,-0.36,-0.68,-0.3548521648320091
CD-02,2022-09-01,0.7201742623869568,4.0,-0.29,-0.36,-0.03380456810170296
CD-02,2022-10-01,1.343366980501269,4.0,0.59,-0.29,0.036424593683048734
CD-02,2022-11-01,-0.15938662999327638,4.0,0.41,0.59,0.9193054846913906
CD-02,2022-12-01,0.5604474377708031,4.0,0.62,0.41,0.7387162115305879
CD-02,2023-01-01,1.0517032123697179,4.0,0.53,0.62,0.949403696884854
CD-02,2023-02-01,1.336423480659692,4.0,0.84,0.53,0.8591090603044638
CD-02,2023-03-01,1.6385370221655322,4.0,0.71,0.84,1.170123919636934
CD-02,2023-04-01,1.11315817275562,4.0,0.61,0.71,1.0396983334652665
CD-02,2023-05-01,1.2337541966382715,4.0,0.23,0.61,0.9393709594870403
CD-02,2023-06-01,1.2813756002928267,4.0,-0.08,0.23,0.5581269383697851
CD-02,2023-07-01,0.9971451784730495,4.0,0.12,-0.08,0.2471120790373149
CD-02,2023-08-01,0.39341673988282594,4.0,0.23,0.12,0.44776682699376735
CD-02,2023-09-01,-0.24768273844790797,4.0,0.26,0.23,0.5581269383697851
CD-02,2023-10-01,-0.17550215868615354,4.0,0.24,0.26,0.5882251505632485
CD-02,2023-11-01,1.8575653166374506,4.0,0.28,0.24,0.568159675767621
CD-04,2021-04-01,0.766765952316975,4.0,0.31,0.93,1.2604185562173464
CD-04,2021-06-01,0.8884529984515555,4.0,0.53,0.83,1.1600911822391202
CD-04,2021-07-01,0.18200879159804312,4.0,0.96,0.53,0.8591090603044638
CD-04,2021-08-01,-0.3463206662382989,4.0,0.87,0.96,1.2905167684108099
CD-04,2021-09-01,0.2851646593799819,4.0,1.16,0.87,1.2002221318303974
CD-04,2021-10-01,-1.128653197758764,4.0,1.25,1.16,1.49117151636724
CD-04,2021-11-01,1.9334826722704983,4.0,0.95,1.25,1.5814661529476304
CD-04,2021-12-01,0.6978619232266424,4.0,0.73,0.95,1.2804840310129961
CD-04,2022-01-01,0.41964340602748507,4.0,0.54,0.73,1.059763808260894
CD-04,2022-02-01,0.5115061586327939,4.0,1.01,0.54,0.8691417977022775
CD-04,2022-03-01,2.356309693737821,4.0,1.62,1.01,1.340680455399923
CD-04,2022-04-01,0.5239791902359543,4.0,1.06,1.62,1.9526774366670496
CD-04,2022-05-01,1.1321274310309988,4.0,0.47,1.06,1.3908441423890139
CD-04,2022-06-01,-0.1877984273953625,4.0,0.67,0.47,0.7989126359175147
CD-04,2022-07-01,-0.44248941254098906,4.0,-0.68,0.67,0.9995673838739672
CD-04,2022-08-01,1.165415836703922,4.0,-0.36,-0.68,-0.3548521648320091
CD-04,2022-09-01,1.2782010269331705,4.0,-0.29,-0.36,-0.03380456810170296
CD-04,2022-10-01,0.7494740856367645,4.0,0.59,-0.29,0.036424593683048734
CD-04,2022-11-01,-0.21587697590352536,4.0,0.41,0.59,0.9193054846913906
CD-04,2022-12-01,-0.11229517000484614,4.0,0.62,0.41,0.7387162115305879
CD-04,2023-01-01,0.09362134236571293,4.0,0.53,0.62,0.949403696884854
CD-04,2023-02-01,1.0007396525939511,4.0,0.84,0.53,0.8591090603044638
CD-04,2023-03-01,2.2436327987687616,4.0,0.71,0.84,1.170123919636934
CD-04,2023-04-01,1.8094650207252756,4.0,0.61,0.71,1.0396983334652665
CD-04,2023-05-01,2.4358156950431615,4.0,0.23,0.61,0.9393709594870403
CD-04,2023-06-01,2.0184014650371336,4.0,-0.08,0.23,0.5581269383697851
CD-04,2023-07-01,0.7451044588464734,4.0,0.12,-0.08,0.2471120790373149
CD-04,2023-08-01,-0.7483698532312271,4.0,0.23,0.12,0.44776682699376735
CD-04,2023-09-01,-1.02193211738073,4.0,0.26,0.23,0.5581269383697851
CD-04,2023-10-01,-0.3047889517271412,4.0,0.24,0.26,0.5882251505632485
CD-04,2023-11-01,2.3701229807870283,4.0,0.28,0.24,0.568159675767621
CD-05,2021-04-01,0.5613577180148859,4.0,0.31,0.93,1.2604185562173464
CD-05,2021-06-01,0.6768378923360291,4.0,0.53,0.83,1.1600911822391202
CD-05,2021-07-01,-0.467054592193457,4.0,0.96,0.53,0.8591090603044638
CD-05,2021-08-01,-1.0798979095966488,4.0,0.87,0.96,1.2905167684108099
CD-05,2021-09-01,-0.5305912526561758,4.0,1.16,0.87,1.2002221318303974
CD-05,2021-10-01,-2.2955067369592874,4.0,1.25,1.16,1.49117151636724
CD-05,2021-11-01,2.6430681049862743,4.0,0.95,1.25,1.5814661529476304
CD-05,2021-12-01,-0.014881971388995817,4.0,0.73,0.95,1.2804840310129961
CD-05,2022-01-01,-0.24174095367754134,4.0,0.54,0.73,1.059763808260894
CD-05,2022-02-01,0.25961461736494,4.0,1.01,0.54,0.8691417977022775
CD-05,2022-03-01,3.0425807123113224,4.0,1.62,1.01,1.340680455399923
CD-05,2022-04-01,-0.009495297713157375,4.0,1.06,1.62,1.9526774366670496
CD-05,2022-05-01,1.132717512973798,4.0,0.47,1.06,1.3908441423890139
CD-05,2022-06-01,-1.097142039381243,4.0,0.67,0.47,0.7989126359175147
CD-05,2022-07-01,-0.8854119526278101,4.0,-0.68,0.67,0.9995673838739672
CD-05,2022-08-01,2.0221988716087966,4.0,-0.36,-0.68,-0.3548521648320091
CD-05,2022-09-01,1.6965705939481883,4.0,-0.29,-0.36,-0.03380456810170296
CD-05,2022-10-01,1.050889933517448,4.0,0.59,-0.29,0.036424593683048734
CD-05,2022-11-01,-0.8213140516879537,4.0,0.41,0.59,0.9193054846913906
CD-05,2022-12-01,-0.43962210007055136,4.0,0.62,0.41,0.7387162115305879
CD-05,2023-01-01,-0.13296849330513485,4.0,0.53,0.62,0.949403696884854
CD-05,2023-02-01,0.8458832386324056,4.0,0.84,0.53,0.8591090603044638
CD-05,2023-03-01,2.339419656460746,4.0,0.71,0.84,1.170123919636934
CD-05,2023-04-01,2.02382959255294,4.0,0.61,0.71,1.0396983334652665
CD-05,2023-05-01,2.594265887897912,4.0,0.23,0.61,0.9393709594870403
CD-05,2023-06-01,2.480697500968985,4.0,-0.08,0.23,0.5581269383697851
CD-05,2023-07-01,0.940659447131517,4.0,0.12,-0.08,0.2471120790373149
CD-05,2023-08-01,-0.5787662185455362,4.0,0.23,0.12,0.44776682699376735
CD-05,2023-09-01,-0.9332128620480276,4.0,0.26,0.23,0.5581269383697851
CD-05,2023-10-01,-0.26942719142944443,4.0,0.24,0.26,0.5882251505632485
CD-05,2023-11-01,2.463293975973453,4.0,0.28,0.24,0.568159675767621
CD-06,2021-04-01,0.11960728750928919,4.0,0.31,0.93,1.2604185562173464
CD-06,2021-06-01,0.280918679332544,4.0,0.53,0.83,1.1600911822391202
CD-06,2021-07-01,0.31919852386792996,4.0,0.96,0.53,0.8591090603044638
CD-06,2021-08-01,0.3188917284184627,4.0,0.87,0.96,1.2905167684108099
CD-06,2021-09-01,0.6114378300878405,4.0,1.16,0.87,1.2002221318303974
CD-06,2021-10-01,0.2014565189571817,4.0,1.25,1.16,1.49117151636724
CD-06,2021-11-01,0.6665905312774778,4.0,0.95,1.25,1.5814661529476304
CD-06,2021-12-01,0.5355820474022599,4.0,0.73,0.95,1.2804840310129961
CD-06,2022-01-01,0.4448819279266627,4.0,0.54,0.73,1.059763808260894
CD-06,2022-02-01,0.9396961014088135,4.0,1.01,0.54,0.8691417977022775
CD-06,2022-03-01,1.7861824581350403,4.0,1.62,1.01,1.340680455399923
CD-06,2022-04-01,1.4381583307752273,4.0,1.06,1.62,1.9526774366670496
CD-06,2022-05-01,0.5024472388755171,4.0,0.47,1.06,1.3908441423890139
CD-06,2022-06-01,0.595208746918293,4.0,0.67,0.47,0.7989126359175147
CD-06,2022-07-01,-0.09356069570807046,4.0,-0.68,0.67,0.9995673838739672
CD-06,2022-08-01,0.18695289006286975,4.0,-0.36,-0.68,-0.3548521648320091
CD-06,2022-09-01,0.447409457247556,4.0,-0.29,-0.36,-0.03380456810170296
CD-06,2022-10-01,1.303817889170486,4.0,0.59,-0.29,0.036424593683048734
CD-06,2022-11-01,0.41962869623716326,4.0,0.41,0.59,0.9193054846913906
CD-06,2022-12-01,0.9985222874582051,4.0,0.62,0.41,0.7387162115305879
CD-06,2023-01-01,1.1516703594898716,4.0,0.53,0.62,0.949403696884854
CD-06,2023-02-01,1.0552752306142958,4.0,0.84,0.53,0.8591090603044638
CD-06,2023-03-01,1.1768676357189907,4.0,0.71,0.84,1.170123919636934
CD-06,2023-04-01,0.8373695823057515,4.0,0.61,0.71,1.0396983334652665
CD-06,2023-05-01,0.9997945445508919,4.0,0.23,0.61,0.9393709594870403
CD-06,2023-06-01,1.0863067464611267,4.0,-0.08,0.23,0.5581269383697851
CD-06,2023-07-01,0.9702947956910927,4.0,0.12,-0.08,0.2471120790373149
CD-06,2023-08-01,0.15095160908040894,4.0,0.23,0.12,0.44776682699376735
CD-06,2023-09-01,-0.1676097001587425,4.0,0.26,0.23,0.5581269383697851
CD-06,2023-10-01,0.19490151221141816,4.0,0.24,0.26,0.5882251505632485
CD-06,2023-11-01,1.6987225678380145,4.0,0.28,0.24,0.568159675767621
CD-07,2023-02-01,0.46218750000000003,4.0,0.84,0.53,0.8591090603044638
CD-07,2023-03-01,0.8198458192237917,4.0,0.71,0.84,1.170123919636934
CD-07,2023-04-01,0.8613653014962949,4.0,0.61,0.71,1.0396983334652665
CD-07,2023-05-01,0.9940693934231479,4.0,0.23,0.61,0.9393709594870403
CD-07,2023-06-01,1.1770150481937247,4.0,-0.08,0.23,0.5581269383697851
CD-07,2023-07-01,0.9858139251157163,4.0,0.12,-0.08,0.2471120790373149
CD-07,2023-08-01,0.936812969931557,4.0,0.23,0.12,0.44776682699376735
CD-07,2023-09-01,0.7701953728645203,4.0,0.26,0.23,0.5581269383697851
CD-07,2023-10-01,0.769553117109593,4.0,0.24,0.26,0.5882251505632485
CD-07,2023-11-01,0.7087256876472291,4.0,0.28,0.24,0.568159675767621
CV-03,2021-04-01,0.812997433412993,4.0,0.31,0.93,1.2604185562173464
CV-03,2021-06-01,0.9244607729014556,4.0,0.53,0.83,1.1600911822391202
CV-03,2021-07-01,0.24664052294811456,4.0,0.96,0.53,0.8591090603044638
CV-03,2021-08-01,0.09703854732044423,4.0,0.87,0.96,1.2905167684108099
CV-03,2021-09-01,0.6804117972841051,4.0,1.16,0.87,1.2002221318303974
CV-03,2021-10-01,-0.43847262999926456,4.0,1.25,1.16,1.49117151636724
CV-03,2021-11-01,1.8767430181387084,4.0,0.95,1.25,1.5814661529476304
CV-03,2021-12-01,1.019142191415332,4.0,0.73,0.95,1.2804840310129961
CV-03,2022-01-01,0.8667285917864623,4.0,0.54,0.73,1.059763808260894
CV-03,2022-02-01,0.5974201418916678,4.0,1.01,0.54,0.8691417977022775
CV-03,2022-03-01,2.453506314582744,4.0,1.62,1.01,1.340680455399923
CV-03,2022-04-01,0.5803455327561197,4.0,1.06,1.62,1.9526774366670496
CV-03,2022-05-01,1.325190395680155,4.0,0.47,1.06,1.3908441423890139
CV-03,2022-06-01,-0.27219561290857125,4.0,0.67,0.47,0.7989126359175147
CV-03,2022-07-01,-0.07121554745045708,4.0,-0.68,0.67,0.9995673838739672
CV-03,2022-08-01,1.1907489740939234,4.0,-0.36,-0.68,-0.3548521648320091
CV-03,2022-09-01,1.0297486519868135,4.0,-0.29,-0.36,-0.03380456810170296
CV-03,2022-10-01,0.8446364522501346,4.0,0.59,-0.29,0.036424593683048734
CV-03,2022-11-01,-0.17004187919429103,4.0,0.41,0.59,0.9193054846913906
CV-03,2022-12-01,-0.00260277166909072,4.0,0.62,0.41,0.7387162115305879
CV-03,2023-01-01,0.18972197094268592,4.0,0.53,0.62,0.949403696884854
CV-03,2023-02-01,0.7986930155354309,4.0,0.84,0.53,0.8591090603044638
CV-03,2023-03-01,2.1636296210649584,4.0,0.71,0.84,1.170123919636934
CV-03,2023-04-01,1.8740868610417831,4.0,0.61,0.71,1.0396983334652665
CV-03,2023-05-01,2.298215028427623,4.0,0.23,0.61,0.9393709594870403
CV-03,2023-06-01,2.0230236596804714,4.0,-0.08,0.23,0.5581269383697851
CV-03,2023-07-01,0.7197686211885836,4.0,0.12,-0.08,0.2471120790373149
CV-03,2023-08-01,-0.6345765446725505,4.0,0.23,0.12,0.44776682699376735
CV-03,2023-09-01,-0.7294059807372725,4.0,0.26,0.23,0.5581269383697851
CV-03,2023-10-01,-0.18916197407555604,4.0,0.24,0.26,0.5882251505632485
CV-03,2023-11-01,2.3698634972790438,4.0,0.28,0.24,0.568159675767621
